,Type,ST,STNAME,COUNTY/METRO,Total households (2012-2016),Renter households (2012-2016),% of total households that are renters (2012-2016),Minimum wage,Estimated mean renter wage,SSI monthly payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI ,Estimated renter median income,Rent affordable at renter median income,Rent affordable at 30% of AMI,Rent affordable with full-time job paying min wage,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
STATE,1,SC,South Carolina,,1839041,580380,32,7.25,12.75,750,626,717,852,1132,1371,63024,18907,30827,771,473,377,663,225,25026,28678,34080,45271,54859,12.03,13.79,16.38,21.76,26.37,66,76,90,120,146,38,43,51,68,83
NONMETRO,2,SC,South Carolina,,286047,82574,29,7.25,10.56,750,499,536,682,913,1013,48546,14564,21639,541,364,377,549,225,19955,21438,27299,36531,40522,9.59,10.31,13.12,17.56,19.48,53,57,72,97,107,36,39,50,67,74
METRO,3,SC,South Carolina,Anderson HMFA,74814,21845,29,7.25,10.49,750,570,595,740,987,1116,60800,18240,25987,650,456,377,546,225,22800,23800,29600,39480,44640,10.96,11.44,14.23,18.98,21.46,60,63,79,105,118,42,44,54,72,82
METRO,3,SC,South Carolina,Augusta-Richmond County HMFA,73539,19536,27,7.25,13.18,750,617,636,771,1053,1358,62300,18690,26516,663,467,377,685,225,24680,25440,30840,42120,54320,11.87,12.23,14.83,20.25,26.12,65,67,82,112,144,36,37,45,61,79
METRO,3,SC,South Carolina,Beaufort County HMFA,67345,19862,29,7.25,12.73,750,842,920,1056,1398,1860,72200,21660,43889,1097,542,377,662,225,33680,36800,42240,55920,74400,16.19,17.69,20.31,26.88,35.77,89,98,112,148,197,51,56,64,84,112
METRO,3,SC,South Carolina,Charleston-North Charleston MSA,274408,97049,35,7.25,14.98,750,743,884,1037,1376,1783,74500,22350,38513,963,559,377,779,225,29720,35360,41480,55040,71320,14.29,17,19.94,26.46,34.29,79,94,110,146,189,38,45,53,71,92
METRO,3,SC,South Carolina,Charlotte-Concord-Gastonia HMFA,92298,27194,29,7.25,11.91,750,777,838,967,1310,1681,74100,22230,32736,818,556,377,619,225,31080,33520,38680,52400,67240,14.94,16.12,18.6,25.19,32.33,82,89,103,139,178,50,54,62,85,109
METRO,3,SC,South Carolina,Chester County HMFA,12265,3280,27,7.25,9.86,750,512,515,680,904,1028,44900,13470,17331,433,337,377,513,225,20480,20600,27200,36160,41120,9.85,9.9,13.08,17.38,19.77,54,55,72,96,109,40,40,53,71,80
METRO,3,SC,South Carolina,Columbia HMFA,276942,94425,34,7.25,13.18,750,605,776,891,1173,1456,69900,20970,33176,829,524,377,685,225,24200,31040,35640,46920,58240,11.63,14.92,17.13,22.56,28,64,82,95,124,154,35,45,52,68,85
METRO,3,SC,South Carolina,Darlington County HMFA,26407,8374,32,7.25,14.16,750,486,587,674,887,932,49100,14730,22099,552,368,377,736,225,19440,23480,26960,35480,37280,9.35,11.29,12.96,17.06,17.92,52,62,72,94,99,26,32,37,48,51
METRO,3,SC,South Carolina,Florence HMFA,51749,17377,34,7.25,11.91,750,565,569,740,929,1008,55200,16560,28409,710,414,377,619,225,22600,22760,29600,37160,40320,10.87,10.94,14.23,17.87,19.38,60,60,79,99,107,36,37,48,60,65
METRO,3,SC,South Carolina,Greenville-Mauldin-Easley HMFA,228088,77016,34,7.25,13.25,750,582,709,824,1102,1327,66500,19950,30755,769,499,377,689,225,23280,28360,32960,44080,53080,11.19,13.63,15.85,21.19,25.52,62,75,87,117,141,34,41,48,64,77
METRO,3,SC,South Carolina,Jasper County HMFA,9298,2883,31,7.25,16.35,750,678,740,850,1066,1158,42800,12840,35971,899,321,377,850,225,27120,29600,34000,42640,46320,13.04,14.23,16.35,20.5,22.27,72,79,90,113,123,32,35,40,50,54
METRO,3,SC,South Carolina,Kershaw County HMFA,24106,4654,19,7.25,12.9,750,584,615,707,951,1245,57100,17130,32735,818,428,377,671,225,23360,24600,28280,38040,49800,11.23,11.83,13.6,18.29,23.94,62,65,75,101,132,35,37,42,57,74
METRO,3,SC,South Carolina,Lancaster County HMFA,30270,6437,21,7.25,11.88,750,561,695,884,1195,1219,56800,17040,25125,628,426,377,618,225,22440,27800,35360,47800,48760,10.79,13.37,17,22.98,23.44,60,74,94,127,129,36,45,57,77,79
METRO,3,SC,South Carolina,Laurens County HMFA,25465,7623,30,7.25,12.4,750,516,536,713,898,971,50800,15240,25978,649,381,377,645,225,20640,21440,28520,35920,38840,9.92,10.31,13.71,17.27,18.67,55,57,76,95,103,32,33,44,56,60
METRO,3,SC,South Carolina,Myrtle Beach-North Myrtle Beach-Conway HMFA,122125,37678,31,7.25,10.53,750,788,800,931,1231,1439,60100,18030,32285,807,451,377,548,225,31520,32000,37240,49240,57560,15.15,15.38,17.9,23.67,27.67,84,85,99,131,153,58,58,68,90,105
METRO,3,SC,South Carolina,Spartanburg HMFA,111462,35010,31,7.25,12.97,750,511,605,734,985,1129,61200,18360,27558,689,459,377,674,225,20440,24200,29360,39400,45160,9.83,11.63,14.12,18.94,21.71,54,64,78,105,120,30,36,44,58,67
METRO,3,SC,South Carolina,Sumter MSA,40815,14181,35,7.25,11.85,750,604,608,759,1014,1134,49800,14940,28389,710,374,377,616,225,24160,24320,30360,40560,45360,11.62,11.69,14.6,19.5,21.81,64,65,81,108,120,39,39,49,66,74
METRO,3,SC,South Carolina,Union County HMFA,11598,3382,29,7.25,11.26,750,466,502,668,867,928,45800,13740,24374,609,344,377,586,225,18640,20080,26720,34680,37120,8.96,9.65,12.85,16.67,17.85,49,53,71,92,98,32,34,46,59,63
COUNTY,4,SC,South Carolina,Abbeville County,9499,2127,22,7.25,9.31,750,485,502,668,972,1177,47300,14190,19430,486,355,377,484,225,19400,20080,26720,38880,47080,9.33,9.65,12.85,18.69,22.63,51,53,71,103,125,40,41,55,80,97
COUNTY,4,SC,South Carolina,Aiken County,64455,17345,27,7.25,13.6,750,617,636,771,1053,1358,62300,18690,26991,675,467,377,707,225,24680,25440,30840,42120,54320,11.87,12.23,14.83,20.25,26.12,65,67,82,112,144,35,36,44,60,77
COUNTY,4,SC,South Carolina,Allendale County,3357,1186,35,7.25,11.94,750,485,502,668,906,923,36800,11040,14115,353,276,377,621,225,19400,20080,26720,36240,36920,9.33,9.65,12.85,17.42,17.75,51,53,71,96,98,31,32,43,58,59
COUNTY,4,SC,South Carolina,Anderson County,74814,21845,29,7.25,10.49,750,570,595,740,987,1116,60800,18240,25987,650,456,377,546,225,22800,23800,29600,39480,44640,10.96,11.44,14.23,18.98,21.46,60,63,79,105,118,42,44,54,72,82
COUNTY,4,SC,South Carolina,Bamberg County,5732,1465,26,7.25,9.5,750,514,533,709,889,966,42300,12690,19970,499,317,377,494,225,20560,21320,28360,35560,38640,9.88,10.25,13.63,17.1,18.58,55,57,75,94,102,42,43,57,72,78
COUNTY,4,SC,South Carolina,Barnwell County,8206,2350,29,7.25,8.49,750,485,516,668,838,922,46600,13980,18580,465,350,377,442,225,19400,20640,26720,33520,36880,9.33,9.92,12.85,16.12,17.73,51,55,71,89,98,44,47,61,76,84
COUNTY,4,SC,South Carolina,Beaufort County,67345,19862,29,7.25,12.73,750,842,920,1056,1398,1860,72200,21660,43889,1097,542,377,662,225,33680,36800,42240,55920,74400,16.19,17.69,20.31,26.88,35.77,89,98,112,148,197,51,56,64,84,112
COUNTY,4,SC,South Carolina,Berkeley County,70482,21286,30,7.25,17.92,750,743,884,1037,1376,1783,74500,22350,41722,1043,559,377,932,225,29720,35360,41480,55040,71320,14.29,17,19.94,26.46,34.29,79,94,110,146,189,32,38,45,59,77
COUNTY,4,SC,South Carolina,Calhoun County,6102,1460,24,7.25,11.74,750,605,776,891,1173,1456,69900,20970,22952,574,524,377,610,225,24200,31040,35640,46920,58240,11.63,14.92,17.13,22.56,28,64,82,95,124,154,40,51,58,77,95
COUNTY,4,SC,South Carolina,Charleston County,150921,59679,40,7.25,14.91,750,743,884,1037,1376,1783,74500,22350,37737,943,559,377,775,225,29720,35360,41480,55040,71320,14.29,17,19.94,26.46,34.29,79,94,110,146,189,38,46,54,71,92
COUNTY,4,SC,South Carolina,Cherokee County,20353,6194,30,7.25,10.51,750,505,508,676,852,971,48200,14460,22149,554,362,377,547,225,20200,20320,27040,34080,38840,9.71,9.77,13,16.38,18.67,54,54,72,90,103,37,37,49,62,71
COUNTY,4,SC,South Carolina,Chester County,12265,3280,27,7.25,9.86,750,512,515,680,904,1028,44900,13470,17331,433,337,377,513,225,20480,20600,27200,36160,41120,9.85,9.9,13.08,17.38,19.77,54,55,72,96,109,40,40,53,71,80
COUNTY,4,SC,South Carolina,Chesterfield County,18172,5232,29,7.25,10.24,750,433,582,668,860,910,41300,12390,20701,518,310,377,532,225,17320,23280,26720,34400,36400,8.33,11.19,12.85,16.54,17.5,46,62,71,91,97,33,44,50,65,68
COUNTY,4,SC,South Carolina,Clarendon County,13282,3414,26,7.25,6.74,750,485,582,668,972,1071,43600,13080,18124,453,327,377,350,225,19400,23280,26720,38880,42840,9.33,11.19,12.85,18.69,20.6,51,62,71,103,114,55,66,76,111,122
COUNTY,4,SC,South Carolina,Colleton County,14865,4111,28,7.25,10.72,750,532,621,733,924,998,43700,13110,24532,613,328,377,558,225,21280,24840,29320,36960,39920,10.23,11.94,14.1,17.77,19.19,56,66,78,98,106,38,45,53,66,72
COUNTY,4,SC,South Carolina,Darlington County,26407,8374,32,7.25,14.16,750,486,587,674,887,932,49100,14730,22099,552,368,377,736,225,19440,23480,26960,35480,37280,9.35,11.29,12.96,17.06,17.92,52,62,72,94,99,26,32,37,48,51
COUNTY,4,SC,South Carolina,Dillon County,11133,3913,35,7.25,8.72,750,485,553,668,869,910,35900,10770,17868,447,269,377,453,225,19400,22120,26720,34760,36400,9.33,10.63,12.85,16.71,17.5,51,59,71,92,97,43,49,59,77,80
COUNTY,4,SC,South Carolina,Dorchester County,53005,16084,30,7.25,11.21,750,743,884,1037,1376,1783,74500,22350,37149,929,559,377,583,225,29720,35360,41480,55040,71320,14.29,17,19.94,26.46,34.29,79,94,110,146,189,51,61,71,94,122
COUNTY,4,SC,South Carolina,Edgefield County,9084,2191,24,7.25,7.78,750,617,636,771,1053,1358,62300,18690,22756,569,467,377,405,225,24680,25440,30840,42120,54320,11.87,12.23,14.83,20.25,26.12,65,67,82,112,144,61,63,76,104,134
COUNTY,4,SC,South Carolina,Fairfield County,8878,2316,26,7.25,17.86,750,605,776,891,1173,1456,69900,20970,17741,444,524,377,929,225,24200,31040,35640,46920,58240,11.63,14.92,17.13,22.56,28,64,82,95,124,154,26,33,38,51,63
COUNTY,4,SC,South Carolina,Florence County,51749,17377,34,7.25,11.91,750,565,569,740,929,1008,55200,16560,28409,710,414,377,619,225,22600,22760,29600,37160,40320,10.87,10.94,14.23,17.87,19.38,60,60,79,99,107,36,37,48,60,65
COUNTY,4,SC,South Carolina,Georgetown County,24379,5788,24,7.25,10.14,750,561,581,773,1124,1154,56600,16980,26678,667,425,377,528,225,22440,23240,30920,44960,46160,10.79,11.17,14.87,21.62,22.19,60,62,82,119,122,43,44,59,85,88
COUNTY,4,SC,South Carolina,Greenville County,182466,62576,34,7.25,13.61,750,582,709,824,1102,1327,66500,19950,31638,791,499,377,708,225,23280,28360,32960,44080,53080,11.19,13.63,15.85,21.19,25.52,62,75,87,117,141,33,40,47,62,75
COUNTY,4,SC,South Carolina,Greenwood County,26806,9921,37,7.25,11.17,750,485,503,669,908,911,55900,16770,23384,585,419,377,581,225,19400,20120,26760,36320,36440,9.33,9.67,12.87,17.46,17.52,51,53,71,96,97,33,35,46,63,63
COUNTY,4,SC,South Carolina,Hampton County,7290,1857,25,7.25,14.39,750,485,502,668,881,910,42900,12870,25014,625,322,377,748,225,19400,20080,26720,35240,36400,9.33,9.65,12.85,16.94,17.5,51,53,71,93,97,26,27,36,47,49
COUNTY,4,SC,South Carolina,Horry County,122125,37678,31,7.25,10.53,750,788,800,931,1231,1439,60100,18030,32285,807,451,377,548,225,31520,32000,37240,49240,57560,15.15,15.38,17.9,23.67,27.67,84,85,99,131,153,58,58,68,90,105
COUNTY,4,SC,South Carolina,Jasper County,9298,2883,31,7.25,16.35,750,678,740,850,1066,1158,42800,12840,35971,899,321,377,850,225,27120,29600,34000,42640,46320,13.04,14.23,16.35,20.5,22.27,72,79,90,113,123,32,35,40,50,54
COUNTY,4,SC,South Carolina,Kershaw County,24106,4654,19,7.25,12.9,750,584,615,707,951,1245,57100,17130,32735,818,428,377,671,225,23360,24600,28280,38040,49800,11.23,11.83,13.6,18.29,23.94,62,65,75,101,132,35,37,42,57,74
COUNTY,4,SC,South Carolina,Lancaster County,30270,6437,21,7.25,11.88,750,561,695,884,1195,1219,56800,17040,25125,628,426,377,618,225,22440,27800,35360,47800,48760,10.79,13.37,17,22.98,23.44,60,74,94,127,129,36,45,57,77,79
COUNTY,4,SC,South Carolina,Laurens County,25465,7623,30,7.25,12.4,750,516,536,713,898,971,50800,15240,25978,649,381,377,645,225,20640,21440,28520,35920,38840,9.92,10.31,13.71,17.27,18.67,55,57,76,95,103,32,33,44,56,60
COUNTY,4,SC,South Carolina,Lee County,6400,1519,24,7.25,9.46,750,485,582,668,901,922,41100,12330,17027,426,308,377,492,225,19400,23280,26720,36040,36880,9.33,11.19,12.85,17.33,17.73,51,62,71,96,98,39,47,54,73,75
COUNTY,4,SC,South Carolina,Lexington County,107527,28340,26,7.25,11.86,750,605,776,891,1173,1456,69900,20970,35659,891,524,377,617,225,24200,31040,35640,46920,58240,11.63,14.92,17.13,22.56,28,64,82,95,124,154,39,50,58,76,94
COUNTY,4,SC,South Carolina,McCormick County,3980,919,23,7.25,9.54,750,485,502,668,838,922,51600,15480,24468,612,387,377,496,225,19400,20080,26720,33520,36880,9.33,9.65,12.85,16.12,17.73,51,53,71,89,98,39,40,54,68,74
COUNTY,4,SC,South Carolina,Marion County,12090,3623,30,7.25,8.74,750,565,581,668,906,910,41600,12480,17719,443,312,377,454,225,22600,23240,26720,36240,36400,10.87,11.17,12.85,17.42,17.5,60,62,71,96,97,50,51,59,80,80
COUNTY,4,SC,South Carolina,Marlboro County,9736,3175,33,7.25,12.03,750,485,502,668,847,973,40700,12210,20036,501,305,377,626,225,19400,20080,26720,33880,38920,9.33,9.65,12.85,16.29,18.71,51,53,71,90,103,31,32,43,54,62
COUNTY,4,SC,South Carolina,Newberry County,14504,3949,27,7.25,11.14,750,510,529,703,931,1127,53400,16020,26609,665,401,377,579,225,20400,21160,28120,37240,45080,9.81,10.17,13.52,17.9,21.67,54,56,75,99,120,35,37,49,64,78
COUNTY,4,SC,South Carolina,Oconee County,30867,8350,27,7.25,13.97,750,485,502,668,921,1177,57900,17370,25456,636,434,377,726,225,19400,20080,26720,36840,47080,9.33,9.65,12.85,17.71,22.63,51,53,71,98,125,27,28,37,51,65
COUNTY,4,SC,South Carolina,Orangeburg County,33361,10463,31,7.25,9.35,750,507,510,674,874,1031,50900,15270,19609,490,382,377,486,225,20280,20400,26960,34960,41240,9.75,9.81,12.96,16.81,19.83,54,54,72,93,109,42,42,55,72,85
COUNTY,4,SC,South Carolina,Pickens County,45622,14440,32,7.25,9.9,750,582,709,824,1102,1327,66500,19950,26933,673,499,377,515,225,23280,28360,32960,44080,53080,11.19,13.63,15.85,21.19,25.52,62,75,87,117,141,45,55,64,86,103
COUNTY,4,SC,South Carolina,Richland County,147329,60377,41,7.25,13.8,750,605,776,891,1173,1456,69900,20970,33018,825,524,377,718,225,24200,31040,35640,46920,58240,11.63,14.92,17.13,22.56,28,64,82,95,124,154,34,43,50,65,81
COUNTY,4,SC,South Carolina,Saluda County,7106,1932,27,7.25,10.02,750,605,776,891,1173,1456,69900,20970,27919,698,524,377,521,225,24200,31040,35640,46920,58240,11.63,14.92,17.13,22.56,28,64,82,95,124,154,46,60,68,90,112
COUNTY,4,SC,South Carolina,Spartanburg County,111462,35010,31,7.25,12.97,750,511,605,734,985,1129,61200,18360,27558,689,459,377,674,225,20440,24200,29360,39400,45160,9.83,11.63,14.12,18.94,21.71,54,64,78,105,120,30,36,44,58,67
COUNTY,4,SC,South Carolina,Sumter County,40815,14181,35,7.25,11.85,750,604,608,759,1014,1134,49800,14940,28389,710,374,377,616,225,24160,24320,30360,40560,45360,11.62,11.69,14.6,19.5,21.81,64,65,81,108,120,39,39,49,66,74
COUNTY,4,SC,South Carolina,Union County,11598,3382,29,7.25,11.26,750,466,502,668,867,928,45800,13740,24374,609,344,377,586,225,18640,20080,26720,34680,37120,8.96,9.65,12.85,16.67,17.85,49,53,71,92,98,32,34,46,59,63
COUNTY,4,SC,South Carolina,Williamsburg County,12035,3018,25,7.25,9.03,750,485,582,668,972,1083,42400,12720,15200,380,318,377,469,225,19400,23280,26720,38880,43320,9.33,11.19,12.85,18.69,20.83,51,62,71,103,115,41,50,57,83,92
COUNTY,4,SC,South Carolina,York County,92298,27194,29,7.25,11.91,750,777,838,967,1310,1681,74100,22230,32736,818,556,377,619,225,31080,33520,38680,52400,67240,14.94,16.12,18.6,25.19,32.33,82,89,103,139,178,50,54,62,85,109
STATE,1,SD,South Dakota,,333536,107391,32,8.85,11.9,750,506,585,745,1011,1154,69770,20931,31683,792,523,460,619,225,20250,23414,29816,40447,46167,9.74,11.26,14.33,19.45,22.2,44,51,65,88,100,33,38,48,65,75
NONMETRO,2,SD,South Dakota,,175289,57105,33,8.85,10.62,750,464,532,686,929,1034,65365,19610,29624,741,490,460,552,225,18563,21285,27455,37168,41354,8.92,10.23,13.2,17.87,19.88,40,46,60,81,90,34,39,50,67,75
METRO,3,SD,South Dakota,Custer County HMFA,3852,668,17,8.85,9.01,750,567,635,844,1206,1407,66300,19890,32104,803,497,460,469,225,22680,25400,33760,48240,56280,10.9,12.21,16.23,23.19,27.06,49,55,73,105,122,48,54,72,103,120
METRO,3,SD,South Dakota,Meade County HMFA,10653,2941,28,8.85,11,750,496,600,739,1075,1216,64800,19440,35915,898,486,460,572,225,19840,24000,29560,43000,48640,9.54,11.54,14.21,20.67,23.38,43,52,64,93,106,35,42,52,75,85
METRO,3,SD,South Dakota,Rapid City HMFA,42225,13764,33,8.85,11.62,750,614,676,899,1251,1491,70100,21030,31586,790,526,460,604,225,24560,27040,35960,50040,59640,11.81,13,17.29,24.06,28.67,53,59,78,109,130,41,45,59,83,99
METRO,3,SD,South Dakota,Sioux City HMFA,6037,1543,26,8.85,14.96,750,514,606,806,1011,1098,65100,19530,36940,924,488,460,778,225,20560,24240,32240,40440,43920,9.88,11.65,15.5,19.44,21.12,45,53,70,88,95,26,31,41,52,56
METRO,3,SD,South Dakota,Sioux Falls MSA,95480,31370,33,8.85,13.27,750,535,639,781,1045,1217,78700,23610,34809,870,590,460,690,225,21400,25560,31240,41800,48680,10.29,12.29,15.02,20.1,23.4,47,56,68,91,106,31,37,45,61,71
COUNTY,4,SD,South Dakota,Aurora County,1143,241,21,8.85,12.32,750,441,496,660,827,975,58400,17520,41899,1047,438,460,641,225,17640,19840,26400,33080,39000,8.48,9.54,12.69,15.9,18.75,38,43,57,72,85,28,31,41,52,61
COUNTY,4,SD,South Dakota,Beadle County,7513,2604,35,8.85,10.18,750,441,499,660,896,899,65400,19620,27202,680,491,460,529,225,17640,19960,26400,35840,35960,8.48,9.6,12.69,17.23,17.29,38,43,57,78,78,33,38,50,68,68
COUNTY,4,SD,South Dakota,Bennett County,975,378,39,8.85,9.46,750,441,575,660,896,899,48900,14670,35323,883,367,460,492,225,17640,23000,26400,35840,35960,8.48,11.06,12.69,17.23,17.29,38,50,57,78,78,36,47,54,73,73
COUNTY,4,SD,South Dakota,Bon Homme County,2507,626,25,8.85,8.48,750,441,575,660,960,1058,64200,19260,26405,660,482,460,441,225,17640,23000,26400,38400,42320,8.48,11.06,12.69,18.46,20.35,38,50,57,83,92,40,52,60,87,96
COUNTY,4,SD,South Dakota,Brookings County,12361,5025,41,8.85,10.65,750,547,574,725,1055,1098,69100,20730,28531,713,518,460,554,225,21880,22960,29000,42200,43920,10.52,11.04,13.94,20.29,21.12,48,50,63,92,95,39,41,52,76,79
COUNTY,4,SD,South Dakota,Brown County,16128,5284,33,8.85,10.91,750,452,533,709,962,966,72400,21720,30589,765,543,460,567,225,18080,21320,28360,38480,38640,8.69,10.25,13.63,18.5,18.58,39,46,62,84,84,32,38,50,68,68
COUNTY,4,SD,South Dakota,Brule County,2083,633,30,8.85,11.12,750,441,496,660,896,899,59700,17910,39578,989,448,460,578,225,17640,19840,26400,35840,35960,8.48,9.54,12.69,17.23,17.29,38,43,57,78,78,30,34,46,62,62
COUNTY,4,SD,South Dakota,Buffalo County †,496,280,56,8.85,,750,523,596,782,980,1065,33200,9960,27802,695,249,460,,225,20920,23840,31280,39200,42600,10.06,11.46,15.04,18.85,20.48,45,52,68,85,93,,,,,
COUNTY,4,SD,South Dakota,Butte County,4181,1087,26,8.85,8.51,750,441,496,660,827,899,61200,18360,23081,577,459,460,442,225,17640,19840,26400,33080,35960,8.48,9.54,12.69,15.9,17.29,38,43,57,72,78,40,45,60,75,81
COUNTY,4,SD,South Dakota,Campbell County,682,126,18,8.85,12.81,750,441,496,660,876,1161,64900,19470,36006,900,487,460,666,225,17640,19840,26400,35040,46440,8.48,9.54,12.69,16.85,22.33,38,43,57,76,101,26,30,40,53,70
COUNTY,4,SD,South Dakota,Charles Mix County,3218,987,31,8.85,8.48,750,441,496,660,827,956,58000,17400,24684,617,435,460,441,225,17640,19840,26400,33080,38240,8.48,9.54,12.69,15.9,18.38,38,43,57,72,83,40,45,60,75,87
COUNTY,4,SD,South Dakota,Clark County,1501,345,23,8.85,9.81,750,443,498,663,831,903,69600,20880,29015,725,522,460,510,225,17720,19920,26520,33240,36120,8.52,9.58,12.75,15.98,17.37,39,43,58,72,78,35,39,52,65,71
COUNTY,4,SD,South Dakota,Clay County,5317,2575,48,8.85,7.51,750,500,562,748,964,1317,65100,19530,21817,545,488,460,391,225,20000,22480,29920,38560,52680,9.62,10.81,14.38,18.54,25.33,43,49,65,84,114,51,58,77,99,135
COUNTY,4,SD,South Dakota,Codington County,11857,4057,34,8.85,11.41,750,469,527,701,913,1039,70000,21000,32421,811,525,460,594,225,18760,21080,28040,36520,41560,9.02,10.13,13.48,17.56,19.98,41,46,61,79,90,32,36,47,62,70
COUNTY,4,SD,South Dakota,Corson County,1230,618,50,8.85,11.89,750,441,560,660,909,912,38100,11430,19921,498,286,460,619,225,17640,22400,26400,36360,36480,8.48,10.77,12.69,17.48,17.54,38,49,57,79,79,29,36,43,59,59
COUNTY,4,SD,South Dakota,Custer County,3852,668,17,8.85,9.01,750,567,635,844,1206,1407,66300,19890,32104,803,497,460,469,225,22680,25400,33760,48240,56280,10.9,12.21,16.23,23.19,27.06,49,55,73,105,122,48,54,72,103,120
COUNTY,4,SD,South Dakota,Davison County,8625,3462,40,8.85,12.04,750,475,534,710,890,1114,63700,19110,32133,803,478,460,626,225,19000,21360,28400,35600,44560,9.13,10.27,13.65,17.12,21.42,41,46,62,77,97,30,34,45,57,71
COUNTY,4,SD,South Dakota,Day County,2562,699,27,8.85,7.49,750,441,542,660,869,912,54700,16410,20816,520,410,460,389,225,17640,21680,26400,34760,36480,8.48,10.42,12.69,16.71,17.54,38,47,57,76,79,45,56,68,89,94
COUNTY,4,SD,South Dakota,Deuel County,1824,290,16,8.85,12.43,750,441,575,660,896,899,73300,21990,33145,829,550,460,647,225,17640,23000,26400,35840,35960,8.48,11.06,12.69,17.23,17.29,38,50,57,78,78,27,36,41,55,56
COUNTY,4,SD,South Dakota,Dewey County,1651,665,40,8.85,9.4,750,453,516,686,860,934,44400,13320,24865,622,333,460,489,225,18120,20640,27440,34400,37360,8.71,9.92,13.19,16.54,17.96,39,45,60,75,81,37,42,56,70,76
COUNTY,4,SD,South Dakota,Douglas County,1278,252,20,8.85,9.66,750,521,584,776,970,1069,62700,18810,29448,736,470,460,502,225,20840,23360,31040,38800,42760,10.02,11.23,14.92,18.65,20.56,45,51,67,84,93,41,47,62,77,85
COUNTY,4,SD,South Dakota,Edmunds County,1593,266,17,8.85,11.99,750,459,516,686,910,1078,77300,23190,39047,976,580,460,623,225,18360,20640,27440,36400,43120,8.83,9.92,13.19,17.5,20.73,40,45,60,79,94,29,33,44,58,69
COUNTY,4,SD,South Dakota,Fall River County,3082,895,29,8.85,9.71,750,473,580,708,1030,1105,63500,19050,31451,786,476,460,505,225,18920,23200,28320,41200,44200,9.1,11.15,13.62,19.81,21.25,41,50,62,90,96,37,46,56,82,88
COUNTY,4,SD,South Dakota,Faulk County,974,227,23,8.85,12.35,750,441,496,660,876,899,76900,23070,32890,822,577,460,642,225,17640,19840,26400,35040,35960,8.48,9.54,12.69,16.85,17.29,38,43,57,76,78,27,31,41,55,56
COUNTY,4,SD,South Dakota,Grant County,3230,630,20,8.85,13.65,750,441,496,660,838,1162,63400,19020,39019,975,476,460,710,225,17640,19840,26400,33520,46480,8.48,9.54,12.69,16.12,22.35,38,43,57,73,101,25,28,37,47,65
COUNTY,4,SD,South Dakota,Gregory County,1917,586,31,8.85,8.6,750,441,568,660,904,925,53800,16140,24035,601,404,460,447,225,17640,22720,26400,36160,37000,8.48,10.92,12.69,17.38,17.79,38,49,57,79,80,39,51,59,81,83
COUNTY,4,SD,South Dakota,Haakon County,869,202,23,8.85,16.66,750,497,559,743,986,1012,60200,18060,38831,971,452,460,867,225,19880,22360,29720,39440,40480,9.56,10.75,14.29,18.96,19.46,43,49,65,86,88,23,26,34,46,47
COUNTY,4,SD,South Dakota,Hamlin County,2209,408,18,8.85,11.99,750,457,503,669,852,911,65800,19740,40352,1009,494,460,623,225,18280,20120,26760,34080,36440,8.79,9.67,12.87,16.38,17.52,40,44,58,74,79,29,32,43,55,58
COUNTY,4,SD,South Dakota,Hand County,1468,428,29,8.85,10.1,750,441,515,660,876,899,69200,20760,33246,831,519,460,525,225,17640,20600,26400,35040,35960,8.48,9.9,12.69,16.85,17.29,38,45,57,76,78,34,39,50,67,68
COUNTY,4,SD,South Dakota,Hanson County,1060,131,12,8.85,12.35,750,441,496,660,876,899,74100,22230,38593,965,556,460,642,225,17640,19840,26400,35040,35960,8.48,9.54,12.69,16.85,17.29,38,43,57,76,78,27,31,41,55,56
COUNTY,4,SD,South Dakota,Harding County,495,153,31,8.85,16.94,750,441,496,660,876,899,62600,18780,43523,1088,470,460,881,225,17640,19840,26400,35040,35960,8.48,9.54,12.69,16.85,17.29,38,43,57,76,78,20,23,30,40,41
COUNTY,4,SD,South Dakota,Hughes County,7260,2644,36,8.85,11.04,750,448,528,702,1021,1236,89300,26790,35999,900,670,460,574,225,17920,21120,28080,40840,49440,8.62,10.15,13.5,19.63,23.77,39,46,61,89,107,31,37,49,71,86
